n,t_us,dec,bin,hex,volts
0,564,517,001000000101,0x205,0.414105
1,3341,1837,011100101101,0x72D,1.471394
2,6676,3446,110101110110,0xD76,2.760166
3,10009,3801,111011011001,0xED9,3.044513
4,13344,2331,100100011011,0x91B,1.867077
5,16675,715,001011001011,0x2CB,0.572698
6,20007,423,000110100111,0x1A7,0.338813
7,23341,1774,011011101110,0x6EE,1.420933
8,26673,3465,110110001001,0xD89,2.775385
9,30007,3722,111010001010,0xE8A,2.981236
10,33337,2303,100011111111,0x8FF,1.844650
11,36670,713,001011001001,0x2C9,0.571096
